uxLang,recommendedVideoId,hoursOffset,pseudonym,top20,isAPItoo,step
en,wGaTEf0e67U,47,succotash-basil-cranberry,false,false,Chinese
en,q-tR_7_HNHg,47,succotash-basil-cranberry,false,true,Chinese
en,OeeGU5EJUF8,47,succotash-basil-cranberry,false,true,Chinese
en,RHIjoHnrhNI,47,succotash-basil-cranberry,false,true,Chinese
en,SMOkKFDA2Qk,47,succotash-basil-cranberry,false,false,Chinese
en,GUWKL3Fu9WA,47,succotash-basil-cranberry,false,true,Chinese
en,XTcwt3uYKRI,47,succotash-basil-cranberry,false,false,Chinese
en,jLIPA621fQI,47,succotash-basil-cranberry,false,false,Chinese
en,sqrhH6xIegw,47,succotash-basil-cranberry,false,false,Chinese
en,Y-GB9EYqAGM,47,succotash-basil-cranberry,false,false,Chinese
en,_066dEkycr4,47,succotash-basil-cranberry,false,false,Chinese
en,g7RP8qDAb7U,47,succotash-basil-cranberry,false,false,Chinese
en,4v_arrTxupw,47,succotash-basil-cranberry,false,false,Chinese
en,-_ZYWIf4iy4,47,succotash-basil-cranberry,false,false,Chinese
en,IkvMQi82fSg,47,succotash-basil-cranberry,false,false,Chinese
en,bmxcPAbq-3c,47,succotash-basil-cranberry,false,false,Chinese
en,-K_d0WFKQSo,47,succotash-basil-cranberry,false,false,Chinese
en,HR5yYFY4AEk,47,succotash-basil-cranberry,false,true,Chinese
en,ouoUdg4ftBY,47,succotash-basil-cranberry,false,false,Chinese
en,HUTv-5d9N-0,47,succotash-basil-cranberry,false,false,Chinese
en,RN4x922oBHU,47,succotash-basil-cranberry,false,false,Chinese
en,1k9J7X93zfI,47,succotash-basil-cranberry,false,false,Chinese
en,5DmW_H4U-MI,47,succotash-basil-cranberry,false,false,Chinese
en,4HMoqCBWzRY,47,succotash-basil-cranberry,false,false,Chinese
en,LqKwAIIy-Mo,47,succotash-basil-cranberry,false,false,Chinese
en,ISKCVAajPbw,47,succotash-basil-cranberry,false,false,Chinese
en,c5kWajUY7h0,47,succotash-basil-cranberry,false,false,Chinese
en,l-NXIQZzcrw,47,succotash-basil-cranberry,false,false,Chinese
en,_m_KCEBQv3s,47,succotash-basil-cranberry,false,true,Chinese
en,F0kv8xmt8VU,47,succotash-basil-cranberry,false,false,Chinese
en,9WmJwoUHfxQ,47,succotash-basil-cranberry,false,false,Chinese
en,htdYcNLGCjo,47,succotash-basil-cranberry,false,false,Chinese
en,CmKNrXymJzY,47,succotash-basil-cranberry,true,true,Spanish
en,6Af6b_wyiwI,47,succotash-basil-cranberry,true,false,Spanish
en,C4iZLfiK3rk,47,succotash-basil-cranberry,true,false,Spanish
en,ltlcmSWzALY,47,succotash-basil-cranberry,true,true,Spanish
en,TPpoJGYlW54,47,succotash-basil-cranberry,true,false,Spanish
en,si6IkKSLYZE,47,succotash-basil-cranberry,true,false,Spanish
en,Fqw-9yMV0sI,47,succotash-basil-cranberry,true,false,Spanish
en,BtN-goy9VOY,47,succotash-basil-cranberry,true,true,Spanish
